"zip","propertyid","transdate","transvalue","transdate_previous","transvalue_previous","bathroomcnt","bedroomcnt","builtyear","finishedsquarefeet","lotsizesquarefeet","storycnt","latitude","longitude","usecode","censustract","viewtypeid","validation_idx","transmonth","trans_spr_ind","trans_sum_ind","trans_fal_ind","trans_win_ind","trans_build_age","trans_prev_ind","trans_prev_numyear","trans_val_2005","finished_lot_ratio","story_single_ind","story_mult_ind","view_type0","view_type1","view_type2","view_type3","view_type4","view_type5","view_type6","full_censustract","transvalue_log","trans_val_2005_log","res_ratio","bus_ratio","oth_ratio","tot_ratio","median_list_price","median_value_per_sqft","emp","qp1","ap","est"
98001,48794725,"11/22/2005",258000,"1/21/1999",135665,1,3,1992,1300,11850,1,47.312243,-122.284762,9,30401,0,0,11,0,0,1,0,13,1,6,157315.731352144,0.11,1,0,1,0,0,0,0,0,0,"53033030401",5.41161970596323,5.19677215363295,0.11927145,0.036915659,0.0568114,0.1087535,299000,147,20764,231342,945461,1000
98001,48862721,"12/9/2005",294950,"7/2/1996",154950,2.25,4,1983,2010,7463,1,47.334894,-122.267702,9,29902,0,0,12,0,0,0,1,22,1,9,192354.557859516,0.27,1,0,1,0,0,0,0,0,0,"53033029902",5.46974840050517,5.28410248141375,0.140278,0.137316,0.142857,0.140068,299000,147,20764,231342,945461,1000
98001,48891177,"9/22/2005",369950,"7/28/1992",150000,1.75,3,1963,1770,39999,1,47.275784,-122.263978,9,30401,8,0,9,0,0,1,0,42,1,13,208361.312635495,0.04,1,0,0,0,0,0,1,0,0,"53033030401",5.5681430316577,5.31881708473953,0.11927145,0.036915659,0.0568114,0.1087535,299000,147,20764,231342,945461,1000
98001,48890573,"10/11/2005",249000,"1/5/2000",138670,2.5,3,1991,1340,13340,2,47.296832,-122.265584,9,30401,0,0,10,0,0,1,0,14,1,5,157338.843721414,0.1,0,1,1,0,0,0,0,0,0,"53033030401",5.39619934709574,5.19683595422732,0.11927145,0.036915659,0.0568114,0.1087535,299000,147,20764,231342,945461,1000
98001,48794725,"11/22/2005",258000,"2/11/1993",119950,1,3,1992,1300,11850,1,47.312243,-122.284762,9,30401,0,0,11,0,0,1,0,13,1,12,161766.598385939,0.11,1,0,1,0,0,0,0,0,0,"53033030401",5.41161970596323,5.20888885328252,0.11927145,0.036915659,0.0568114,0.1087535,299000,147,20764,231342,945461,1000
98001,48890637,"9/9/2005",234000,"",NA,1.75,3,1964,1710,14400,1,47.290057,-122.269001,9,30401,0,0,9,0,0,1,0,41,0,0,0,0.12,1,0,1,0,0,0,0,0,0,"53033030401",5.36921585741014,-Inf,0.11927145,0.036915659,0.0568114,0.1087535,299000,147,20764,231342,945461,1000
98001,48897453,"9/30/2005",286950,"2/21/1997",147500,2.25,3,1977,2250,7344,1,47.365667,-122.276645,9,29801,0,0,9,0,0,1,0,28,1,8,177772.957040816,0.31,1,0,1,0,0,0,0,0,0,"53033029801",5.45780622908298,5.24986569644746,0.08759092,0.0063234,0.04875465,0.071132725,299000,147,20764,231342,945461,1000
98001,48794725,"11/22/2005",258000,"10/1/2001",170000,1,3,1992,1300,11850,1,47.312243,-122.284762,9,30401,0,0,11,0,0,1,0,13,1,4,186544.23037536,0.11,1,0,1,0,0,0,0,0,0,"53033030401",5.41161970596323,5.27078182129487,0.11927145,0.036915659,0.0568114,0.1087535,299000,147,20764,231342,945461,1000
98001,48664925,"12/15/2005",308000,"",NA,2.25,3,1963,1790,16600,1,47.329224,-122.267909,9,29902,0,0,12,0,0,0,1,42,0,0,0,0.11,1,0,1,0,0,0,0,0,0,"53033029902",5.48855071650044,-Inf,0.140278,0.137316,0.142857,0.140068,299000,147,20764,231342,945461,1000
98001,48890513,"9/30/2005",262000,"5/20/1997",121000,1.75,3,1979,1820,17160,1,47.30029,-122.267961,9,30401,0,0,9,0,0,1,0,26,1,8,145834.086792805,0.11,1,0,1,0,0,0,0,0,0,"53033030401",5.41830129131975,5.16385904644972,0.11927145,0.036915659,0.0568114,0.1087535,299000,147,20764,231342,945461,1000
